task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,t-test,0.05,2,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,2,0.035,0.005811626278418116,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,t-test,0.05,3,0.022,0.0046385342512479085,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,3,0.023,0.004740358636221525,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,3,0.104,0.009653186002558949,0.05
Hopper-v5,SAC,TD3,t-test,0.05,5,0.029,0.005306505441436953,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,5,0.012,0.003443254274665175,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,5,0.032,0.005565608681896348,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,5,0.069,0.008014923580421713,0.05
Hopper-v5,SAC,TD3,t-test,0.05,10,0.04,0.0061967733539318665,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,10,0.037,0.005969170796685248,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,10,0.044,0.006485676526007136,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,10,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,TD3,t-test,0.05,20,0.065,0.007795832219846705,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,20,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,20,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,20,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,TD3,t-test,0.05,30,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,30,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,30,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,30,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,TD3,t-test,0.01,2,0.022,0.0046385342512479085,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,2,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2,0.001,0.0009994998749374609,0.01
Hopper-v5,SAC,TD3,t-test,0.01,3,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,3,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,TD3,t-test,0.01,5,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,5,0.002,0.0014127986409959489,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,5,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,5,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,TD3,t-test,0.01,10,0.004,0.001995995991979944,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,10,0.001,0.0009994998749374609,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,10,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,10,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,t-test,0.01,20,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,DDPG,t-test,0.05,2,0.09,0.009049861877399014,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2,0.048,0.006759881655768835,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,3,0.071,0.008121514637061242,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,3,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,3,0.134,0.010772372069326236,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,5,0.067,0.007906389820898032,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,5,0.055,0.00720936890441875,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,5,0.042,0.0063431853196954605,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,5,0.077,0.00843036179532053,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,10,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,10,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,10,0.085,0.008819013550278738,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,10,0.095,0.00927227048785787,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,20,0.066,0.007851369307324678,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,20,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,20,0.139,0.010939789760319894,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,20,0.142,0.011037934589405754,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,30,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,30,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,30,0.164,0.011709141727727102,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,30,0.169,0.011850696182081457,0.05
Hopper-v5,SAC,DDPG,t-test,0.01,2,0.034,0.005730968504537431,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2,0.001,0.0009994998749374609,0.01
