task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,t-test,0.05,0.5,2,0.176,0.012042591083317577
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.109,0.00985489725973843
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,0.5,3,0.244,0.013581752464244074
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.162,0.011651437679531225
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.176,0.012042591083317577
Hopper-v5,SAC,TD3,t-test,0.05,0.5,5,0.294,0.014407081592050487
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.192,0.012455360291858283
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.092,0.00913980306133562
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.144,0.011102432165971562
Hopper-v5,SAC,TD3,t-test,0.05,0.5,10,0.28,0.014198591479439079
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.317,0.014714312760030624
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.2,0.01264911064067352
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.233,0.013368283360252356
Hopper-v5,SAC,TD3,t-test,0.05,0.5,20,0.395,0.015458816254810716
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.414,0.015575750383207868
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.417,0.015592017188292218
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.416,0.01558666096378567
Hopper-v5,SAC,TD3,t-test,0.05,0.5,30,0.475,0.015791611697353755
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.493,0.015809838708854686
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.579,0.015612783224012303
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.57,0.015655669899432602
Hopper-v5,SAC,TD3,t-test,0.05,1.0,2,0.411,0.015558888135082145
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.229,0.013287550564344055
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,1.0,3,0.4,0.015491933384829668
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.29,0.01434921600645833
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.283,0.014244683218660919
Hopper-v5,SAC,TD3,t-test,0.05,1.0,5,0.462,0.01576565888252058
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.451,0.01573527883451704
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.227,0.013246546719805883
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.274,0.014104041973845655
Hopper-v5,SAC,TD3,t-test,0.05,1.0,10,0.546,0.015744332313566048
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.559,0.015700923539715746
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.47,0.015782902141241326
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.536,0.015770351930125083
Hopper-v5,SAC,TD3,t-test,0.05,1.0,20,0.842,0.011534123287012326
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.835,0.011737759581794136
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.8,0.012649110640673518
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.795,0.012766166221697099
Hopper-v5,SAC,TD3,t-test,0.05,1.0,30,0.938,0.00762600813007697
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.946,0.0071473071852271785
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.935,0.0077958322198467015
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.927,0.008226238508577293
Hopper-v5,SAC,TD3,t-test,0.05,2.0,2,0.487,0.015806043148112688
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.368,0.015250442616527561
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,3,0.585,0.015581238718407468
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.43,0.015655669899432602
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.51,0.0158082257068907
Hopper-v5,SAC,TD3,t-test,0.05,2.0,5,0.697,0.014532412050310162
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.693,0.01458598642533305
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.393,0.015445096309184997
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.406,0.015529455882290275
Hopper-v5,SAC,TD3,t-test,0.05,2.0,10,0.96,0.00619677335393187
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.948,0.007021111023192843
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.757,0.013562853682024296
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.747,0.013747399754135324
Hopper-v5,SAC,TD3,t-test,0.05,2.0,20,0.999,0.0009994998749374613
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.959,0.006270486424512857
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.966,0.005730968504537434
Hopper-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,0.994,0.002442130217658347
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,0.996,0.0019959959919799443
Hopper-v5,SAC,TD3,t-test,0.01,0.5,2,0.059,0.007451107300260815
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.022,0.0046385342512479085
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.001,0.0009994998749374609
Hopper-v5,SAC,TD3,t-test,0.01,0.5,3,0.115,0.010088359628799918
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.058,0.007391616873188166
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,0.5,5,0.127,0.010529529904036551
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.097,0.00935900635751467
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.012,0.003443254274665175
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.046,0.006624499981130651
Hopper-v5,SAC,TD3,t-test,0.01,0.5,10,0.18,0.012149074038789953
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.131,0.010669536072388528
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.071,0.008121514637061242
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.078,0.008480330182251162
Hopper-v5,SAC,TD3,t-test,0.01,0.5,20,0.202,0.012696298673235441
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.222,0.013142145943490356
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.203,0.012719709116170857
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.213,0.012947239087929134
Hopper-v5,SAC,TD3,t-test,0.01,0.5,30,0.29,0.01434921600645833
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.309,0.014612289348353324
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.331,0.014880826589944525
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.374,0.015301111070768685
Hopper-v5,SAC,TD3,t-test,0.01,1.0,2,0.134,0.010772372069326236
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.032,0.005565608681896348
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,1.0,3,0.254,0.013765318739498916
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.21,0.01288021738946979
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,1.0,5,0.307,0.01458598642533305
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.192,0.012455360291858283
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.063,0.007683163410991596
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.133,0.010738295954200556
Hopper-v5,SAC,TD3,t-test,0.01,1.0,10,0.373,0.015292841462592882
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.395,0.015458816254810716
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.248,0.01365635383255721
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.277,0.014151713677148785
Hopper-v5,SAC,TD3,t-test,0.01,1.0,20,0.658,0.01500119995200384
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.664,0.014936666294725875
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.592,0.015541428505771277
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.577,0.015622771841129857
Hopper-v5,SAC,TD3,t-test,0.01,1.0,30,0.852,0.011229247525992114
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.857,0.011070275515993268
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.8,0.012649110640673518
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.797,0.012719709116170855
Hopper-v5,SAC,TD3,t-test,0.01,2.0,2,0.339,0.014969268519202935
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.132,0.010704017937204702
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,2.0,3,0.395,0.015458816254810716
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.256,0.013800869537822608
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.001,0.0009994998749374609
Hopper-v5,SAC,TD3,t-test,0.01,2.0,5,0.619,0.015357050498061143
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.55,0.015732132722552274
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.204,0.01274299807737567
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.332,0.014892145580808697
Hopper-v5,SAC,TD3,t-test,0.01,2.0,10,0.854,0.011166198995181844
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.844,0.011474493452871897
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.434,0.015673034167001616
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.515,0.01580427157448264
Hopper-v5,SAC,TD3,t-test,0.01,2.0,20,0.997,0.0017294507798720387
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,20,0.997,0.0017294507798720387
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.851,0.011260506205317771
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.876,0.010422283818818216
Hopper-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,0.979,0.00453420334788814
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,0.978,0.004638534251247911
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,2,0.067,0.007906389820898032
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.042,0.0063431853196954605
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,3,0.059,0.007451107300260815
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.034,0.005730968504537431
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.206,0.0127892142057282
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,5,0.081,0.008627803892068943
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.06,0.007509993342207435
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.13,0.010634848376916336
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.169,0.011850696182081457
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,10,0.141,0.011005407761641547
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,10,0.155,0.011444430960078356
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,10,0.311,0.014638271755914358
