task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,2,0.142,0.011037934589405754
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.076,0.008379976133617566
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.498,0.01581126180922952
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,2,0.491,0.015808826648426505
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,3,0.117,0.010164201887015036
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.067,0.007906389820898032
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.265,0.013956181426163821
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.31,0.014625320509308504
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,3,0.251,0.013711272734505722
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,5,0.126,0.010493998284733994
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.092,0.00913980306133562
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.097,0.00935900635751467
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.137,0.010873407929439602
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.243,0.013562853682024296
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,5,0.177,0.012069424178476784
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,10,0.181,0.0121753439376471
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.169,0.011850696182081457
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.188,0.012355403676124872
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.222,0.013142145943490356
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.249,0.013674757767507255
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,10,0.212,0.012925014506761685
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,20,0.326,0.01482309009619789
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.287,0.01430492922037715
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.368,0.015250442616527561
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.349,0.01507312177354114
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.385,0.015387494922826133
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,20,0.352,0.015102847413650183
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,30,0.477,0.01579465099329517
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.46,0.015760710643876435
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.462,0.01576565888252058
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.463,0.015768037290671277
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.524,0.01579316307773715
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,30,0.512,0.01580683396509244
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,50,0.699,0.014505137021069467
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.698,0.01451881537867329
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.665,0.014925649064613572
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.668,0.014892145580808697
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.725,0.014120021246442939
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,50,0.702,0.01446360950800318
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,100,0.942,0.007391616873188169
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.942,0.007391616873188169
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.915,0.008819013550278736
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.923,0.008430361795320529
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.938,0.00762600813007697
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,100,0.941,0.007451107300260817
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,2,0.189,0.012380589646701001
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.077,0.00843036179532053
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.594,0.015529455882290275
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,2,0.599,0.015498354751392161
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,3,0.222,0.013142145943490356
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.137,0.010873407929439602
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.41,0.01555313473226539
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.476,0.01579316307773715
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,3,0.387,0.015402305022301045
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,5,0.318,0.014726710426975875
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.252,0.013729384545565033
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.255,0.013783141876945184
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.289,0.0143345387090063
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.453,0.015741378592740853
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,5,0.381,0.015357050498061143
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,10,0.564,0.015681326474504636
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.51,0.0158082257068907
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.52,0.0157987341265052
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.582,0.015597307459943206
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.673,0.014834790190629592
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,10,0.579,0.015612783224012303
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,20,0.876,0.010422283818818216
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.868,0.010704017937204702
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.82,0.012149074038789953
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.823,0.012069424178476786
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.902,0.009401914698613255
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,20,0.889,0.00993373041711924
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,30,0.971,0.005306505441436956
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.967,0.005648982209212561
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.956,0.006485676526007139
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.942,0.007391616873188169
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.973,0.005125524363418832
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,30,0.971,0.005306505441436956
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,50,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,50,0.993,0.002636474919281427
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,50,0.994,0.002442130217658347
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,50,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,50,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,2,0.333,0.014903388876359632
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.17,0.011878552100319299
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.804,0.01255324659201754
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,2,0.81,0.012405643876881197
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,3,0.506,0.015810249839898167
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.314,0.01467664811869522
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.717,0.014244683218660919
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.76,0.013505554412907307
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,3,0.702,0.01446360950800318
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,5,0.786,0.012969348480166612
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.642,0.01516034300403523
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.568,0.01566448211719749
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.635,0.015224158433227107
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.91,0.009049861877399012
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,5,0.809,0.012430567163247216
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,10,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.986,0.0037153734670958734
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.934,0.007851369307324675
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.918,0.008676174272108645
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,10,0.997,0.0017294507798720387
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,2,0.045,0.0065555320150236475
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.018,0.004204283529925164
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.452,0.015738360778683402
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,2,0.466,0.01577479001445027
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,3,0.041,0.006270486424512854
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.016,0.003967870965643918
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.001,0.0009994998749374609
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,3,0.237,0.013447341744746431
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,5,0.042,0.0063431853196954605
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.021,0.004534203347888138
