task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Ant-v5,SAC,TD3,t-test,0.05,0.5,2,0.06,0.007509993342207435
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.029,0.005306505441436953
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.339,0.014969268519202935
Ant-v5,SAC,TD3,permutation,0.05,0.5,2,0.356,0.015141466243399283
Ant-v5,SAC,TD3,t-test,0.05,0.5,3,0.045,0.0065555320150236475
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.03,0.005394441583704471
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.171,0.011906258858264422
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.221,0.013120937466507492
Ant-v5,SAC,TD3,permutation,0.05,0.5,3,0.108,0.009815090422405696
Ant-v5,SAC,TD3,t-test,0.05,0.5,5,0.05,0.006892024376045111
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.031,0.0054807846153630225
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.105,0.009694070352540258
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.185,0.012279047194306243
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.167,0.01179453263168999
Ant-v5,SAC,TD3,permutation,0.05,0.5,5,0.069,0.008014923580421713
Ant-v5,SAC,TD3,t-test,0.05,0.5,10,0.097,0.00935900635751467
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.094,0.009228434320078352
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.276,0.014135911714495106
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.308,0.014599178059055242
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.221,0.013120937466507492
Ant-v5,SAC,TD3,permutation,0.05,0.5,10,0.131,0.010669536072388528
Ant-v5,SAC,TD3,t-test,0.05,0.5,20,0.292,0.014378317008607092
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.275,0.014120021246442939
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.577,0.015622771841129857
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.586,0.015575750383207868
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.395,0.015458816254810716
Ant-v5,SAC,TD3,permutation,0.05,0.5,20,0.314,0.01467664811869522
Ant-v5,SAC,TD3,t-test,0.05,0.5,30,0.478,0.015796075461962062
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.472,0.015786576576319513
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.77,0.013307892395116514
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.756,0.013581752464244074
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.568,0.01566448211719749
Ant-v5,SAC,TD3,permutation,0.05,0.5,30,0.475,0.015791611697353755
Ant-v5,SAC,TD3,t-test,0.05,0.5,50,0.745,0.013783141876945184
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.732,0.014006284303840188
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.935,0.0077958322198467015
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.934,0.007851369307324675
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.801,0.012625331678811452
Ant-v5,SAC,TD3,permutation,0.05,0.5,50,0.767,0.013368283360252356
Ant-v5,SAC,TD3,t-test,0.05,0.5,100,0.975,0.004937104414532877
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.979,0.00453420334788814
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.996,0.0019959959919799443
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.998,0.0014127986409959495
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.984,0.00396787096564392
Ant-v5,SAC,TD3,permutation,0.05,0.5,100,0.981,0.004317290817167639
Ant-v5,SAC,TD3,t-test,0.05,1.0,2,0.055,0.00720936890441875
Ant-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.033,0.005648982209212559
Ant-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Ant-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.493,0.015809838708854686
Ant-v5,SAC,TD3,permutation,0.05,1.0,2,0.472,0.015786576576319513
Ant-v5,SAC,TD3,t-test,0.05,1.0,3,0.065,0.007795832219846705
Ant-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.046,0.006624499981130651
Ant-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.357,0.015150940564862632
Ant-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.463,0.015768037290671277
Ant-v5,SAC,TD3,permutation,0.05,1.0,3,0.221,0.013120937466507492
Ant-v5,SAC,TD3,t-test,0.05,1.0,5,0.228,0.013267102170406317
Ant-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.157,0.01150439046625244
Ant-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.319,0.014739029818817792
Ant-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.414,0.015575750383207868
Ant-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.561,0.015693278816104682
Ant-v5,SAC,TD3,permutation,0.05,1.0,5,0.313,0.014663935351739656
Ant-v5,SAC,TD3,t-test,0.05,1.0,10,0.657,0.015011695440555674
