task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,2,0.126,0.010493998284733994
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.06,0.007509993342207435
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.497,0.01581110369329099
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,2,0.507,0.015809838708854686
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,3,0.149,0.01126050620531777
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.076,0.008379976133617566
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.255,0.013783141876945184
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.289,0.0143345387090063
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,3,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,5,0.128,0.010564847372300274
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.092,0.00913980306133562
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.094,0.009228434320078352
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.131,0.010669536072388528
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.25,0.013693063937629153
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,5,0.177,0.012069424178476784
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,10,0.183,0.012227469075814503
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.145,0.01113440613593738
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.214,0.012969348480166612
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.238,0.01346684818359515
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.238,0.01346684818359515
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,10,0.204,0.01274299807737567
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,20,0.319,0.014739029818817792
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.282,0.014229406171727617
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.401,0.015498354751392161
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.35,0.015083103128998356
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.333,0.014903388876359632
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,20,0.321,0.0147634345597493
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,30,0.434,0.015673034167001616
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.43,0.015655669899432602
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.493,0.015809838708854686
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.488,0.01580683396509244
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.495,0.01581059771166163
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,30,0.479,0.015797436500901024
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,50,0.665,0.014925649064613572
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.637,0.015206281596761254
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.686,0.01467664811869522
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.67,0.014869431730903503
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.681,0.01473902981881779
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,50,0.68,0.014751271131668619
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,100,0.928,0.00817410545564467
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.925,0.00832916562447884
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.922,0.008480330182251158
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.932,0.00796090447122687
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.917,0.008724161850859943
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,100,0.924,0.008379976133617564
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,2,0.169,0.011850696182081457
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.091,0.009094998625618368
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.57,0.015655669899432602
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,2,0.584,0.015586660963785668
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,3,0.197,0.012577400367325514
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.127,0.010529529904036551
