task,algo1,algo2,test,alpha,epsilon,target_n,power,se
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,2,0.137,0.010873407929439602
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.062,0.007626008130076967
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.448,0.01572564784039119
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,2,0.43,0.015655669899432602
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,3,0.096,0.009315793041926168
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.075,0.008329165624478841
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.183,0.012227469075814503
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.266,0.013972973913952606
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,3,0.198,0.012601428490452978
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,5,0.107,0.009775019181566858
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.077,0.00843036179532053
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.068,0.007960904471226871
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.12,0.010276186062932104
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.212,0.012925014506761685
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,5,0.112,0.00997276290703835
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,10,0.148,0.011229247525992114
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.153,0.011383804285035824
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.196,0.012553246592017541
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.235,0.013408019988051927
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.234,0.013388203763014663
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,10,0.157,0.01150439046625244
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,20,0.31,0.014625320509308504
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.346,0.015042739112276061
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.376,0.015317441039547044
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.435,0.0156772127624779
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.362,0.015197236590906913
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,20,0.309,0.014612289348353324
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,30,0.48,0.0157987341265052
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.48,0.0157987341265052
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.567,0.015668790636165896
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.535,0.015772602828956293
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.524,0.01579316307773715
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,30,0.492,0.015809364313595912
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,50,0.693,0.01458598642533305
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.715,0.014274978108564651
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.757,0.013562853682024296
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.766,0.013388203763014663
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.756,0.013581752464244074
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,50,0.7,0.014491376746189439
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,100,0.955,0.00655553201502365
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.946,0.0071473071852271785
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.963,0.005969170796685251
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.959,0.006270486424512857
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.953,0.00669260786241059
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,100,0.948,0.007021111023192843
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,2,0.177,0.012069424178476784
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.089,0.00900438781928011
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.517,0.01580224667571039
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,2,0.5,0.015811388300841896
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,3,0.168,0.011822690049223147
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.114,0.010050074626588601
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.227,0.013246546719805883
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.404,0.015517216245190372
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,3,0.287,0.01430492922037715
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,5,0.226,0.013225883713385657
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.205,0.0127661662216971
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.107,0.009775019181566858
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.191,0.012430567163247218
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.423,0.015622771841129857
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,5,0.26,0.013870832707519763
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,10,0.562,0.01568935945155187
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.53,0.015782902141241326
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.333,0.014903388876359632
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.362,0.015197236590906913
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.685,0.014689281806814109
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,10,0.533,0.015776913513105152
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,20,0.887,0.010011543337567888
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.903,0.009359006357514668
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.633,0.015241751867813621
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.668,0.014892145580808697
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.921,0.008529888627643386
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,20,0.882,0.01020176455325254
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,30,0.975,0.004937104414532877
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.979,0.00453420334788814
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.814,0.012304633273690038
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.789,0.012902674141432851
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.99,0.003146426544510456
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,30,0.98,0.0044271887242357325
