task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,2,0.134,0.010772372069326236
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.073,0.008226238508577295
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.483,0.01580224667571039
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,2,0.466,0.01577479001445027
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,3,0.135,0.010806248192596726
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.07,0.008068457101577725
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.282,0.014229406171727617
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.33,0.014869431730903503
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,3,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,5,0.128,0.010564847372300274
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.092,0.00913980306133562
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.095,0.00927227048785787
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.13,0.010634848376916336
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.245,0.013600551459407815
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,5,0.176,0.012042591083317577
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,10,0.19,0.012405643876881199
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.134,0.010772372069326236
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.185,0.012279047194306243
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.261,0.013888088421377507
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.232,0.013348258313353095
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,10,0.207,0.012812142677944232
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,20,0.287,0.01430492922037715
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.272,0.014071815803228808
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.38,0.015349267083479915
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.369,0.015259062880793171
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.386,0.015394934231752989
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,20,0.343,0.015011695440555674
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,30,0.469,0.01578096955196353
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.435,0.0156772127624779
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.5,0.015811388300841896
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.494,0.015810249839898167
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.466,0.01577479001445027
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,30,0.447,0.015722308990730335
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,50,0.638,0.015197236590906913
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.671,0.014857960829131297
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.665,0.014925649064613572
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.7,0.014491376746189439
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.695,0.014559361249725209
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,50,0.651,0.01507312177354114
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,100,0.946,0.0071473071852271785
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.935,0.0077958322198467015
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.919,0.008627803892068941
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.924,0.008379976133617564
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.937,0.007683163410991592
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,100,0.923,0.008430361795320529
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,2,0.176,0.012042591083317577
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.069,0.008014923580421713
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.001,0.0009994998749374609
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.587,0.015570195888298902
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,2,0.542,0.015755506973753653
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,3,0.219,0.013078187947877183
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.114,0.010050074626588601
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.444,0.015711906313366306
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.443,0.015708309902723462
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,3,0.392,0.015438134602341048
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,5,0.333,0.014903388876359632
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.205,0.0127661662216971
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.312,0.014651143300097777
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.464,0.015770351930125086
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,5,0.37,0.015267612779999367
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,10,0.551,0.015728922404284407
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.495,0.01581059771166163
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.558,0.01570464899321217
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.586,0.015575750383207868
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.611,0.015416841440450765
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,10,0.561,0.015693278816104682
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,20,0.865,0.010806248192596726
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.837,0.011680368144883107
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.856,0.011102432165971564
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.843,0.01150439046625244
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.881,0.010239091756596383
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,20,0.857,0.011070275515993268
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,30,0.959,0.006270486424512857
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.958,0.006343185319695463
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.961,0.006122009474020767
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.949,0.006956938982052382
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.97,0.0053944415837044735
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,30,0.962,0.006046155803483734
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,50,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,50,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,50,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,50,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,2,0.294,0.014407081592050487
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.153,0.011383804285035824
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.811,0.012380589646701
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,2,0.789,0.012902674141432851
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,3,0.48,0.0157987341265052
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.317,0.014714312760030624
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.734,0.013972973913952606
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.749,0.013711272734505722
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,3,0.667,0.01490338887635963
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,5,0.761,0.01348625225924534
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.608,0.015438134602341048
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.599,0.015498354751392161
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.605,0.015458816254810716
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.913,0.008912407082264588
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,5,0.776,0.013184233007649704
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,10,0.991,0.0029864694875387575
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.979,0.00453420334788814
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.928,0.00817410545564467
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.935,0.0077958322198467015
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,10,0.989,0.0032983329122452166
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.996,0.0019959959919799443
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,2,0.052,0.007021111023192838
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.01,0.003146426544510455
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.493,0.015809838708854686
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,2,0.514,0.015805189021330938
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,3,0.057,0.007331507348424334
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.024,0.004839834707921336
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.283,0.014244683218660919
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,3,0.259,0.013853483316480371
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,5,0.041,0.006270486424512854
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.025,0.0049371044145328745
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.074,0.00827792244467173
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.09,0.009049861877399014
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.142,0.011037934589405754
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,5,0.092,0.00913980306133562
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,10,0.062,0.007626008130076967
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.054,0.007147307185227175
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.068,0.007960904471226871
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.098,0.009401914698613257
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.147,0.011197812286335219
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,10,0.086,0.008865889690267977
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,20,0.138,0.01090669519148674
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.078,0.008480330182251162
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.162,0.011651437679531225
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.2,0.01264911064067352
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.174,0.011988494484296182
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,20,0.137,0.010873407929439602
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,30,0.251,0.013711272734505722
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.196,0.012553246592017541
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.277,0.014151713677148785
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.291,0.014363808687113596
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.264,0.013939296969359681
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,30,0.239,0.01348625225924534
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,50,0.402,0.015504708962118573
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,50,0.399,0.015485444778888335
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,50,0.467,0.015776913513105152
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,50,0.479,0.015797436500901024
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,50,0.485,0.01580427157448264
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,50,0.41,0.01555313473226539
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,100,0.825,0.012015614840697917
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,100,0.78,0.01309961831505025
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,100,0.812,0.01235540367612487
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,100,0.81,0.012405643876881197
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,100,0.799,0.01267276607532862
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,100,0.799,0.01267276607532862
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,2,0.061,0.0075682891065286355
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.015,0.003843826218756514
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.56,0.015697133496278867
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,2,0.566,0.015673034167001616
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,3,0.086,0.008865889690267977
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.043,0.006414904519944158
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.372,0.015284501954594399
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,3,0.366,0.01523299051401267
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,5,0.155,0.011444430960078356
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.062,0.007626008130076967
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.206,0.0127892142057282
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.242,0.013543854695026818
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.364,0.015215255502291114
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,5,0.183,0.012227469075814503
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,10,0.263,0.013922320208930694
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.203,0.012719709116170857
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.319,0.014739029818817792
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.339,0.014969268519202935
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.456,0.015750047618975634
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,10,0.305,0.014559361249725209
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,20,0.634,0.01523299051401267
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.596,0.015517216245190372
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.685,0.014689281806814109
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.723,0.014151713677148785
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.74,0.013870832707519763
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,20,0.667,0.01490338887635963
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,30,0.854,0.011166198995181844
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.827,0.011961229033840963
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.851,0.011260506205317771
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.881,0.010239091756596383
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.908,0.009139803061335619
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,30,0.866,0.010772372069326236
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,50,0.987,0.0035820385257559714
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,50,0.988,0.003443254274665176
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,50,0.988,0.003443254274665176
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,50,0.984,0.00396787096564392
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,50,0.992,0.0028170906978654425
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,50,0.992,0.0028170906978654425
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,100,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,2,0.151,0.01132249972400088
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.032,0.005565608681896348
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.833,0.01179453263168999
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,2,0.814,0.012304633273690038
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,3,0.237,0.013447341744746431
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.076,0.008379976133617566
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.726,0.014104041973845655
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,3,0.632,0.015250442616527561
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,5,0.441,0.015700923539715746
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.267,0.013989674763910703
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.547,0.015741378592740853
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.608,0.015438134602341048
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.781,0.013078187947877183
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,5,0.548,0.015738360778683402
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,10,0.906,0.009228434320078352
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.842,0.011534123287012326
