task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,t-test,0.05,2,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,2,0.025,0.0049371044145328745,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,2,0.331,0.014880826589944525,0.05
Hopper-v5,SAC,TD3,permutation,0.05,2,0.35,0.015083103128998356,0.05
Hopper-v5,SAC,TD3,t-test,0.05,3,0.022,0.0046385342512479085,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,3,0.022,0.0046385342512479085,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,3,0.095,0.00927227048785787,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,3,0.187,0.012330085157856777,0.05
Hopper-v5,SAC,TD3,permutation,0.05,3,0.099,0.009444522221901964,0.05
Hopper-v5,SAC,TD3,t-test,0.05,5,0.031,0.0054807846153630225,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,5,0.021,0.004534203347888138,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,5,0.034,0.005730968504537431,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,5,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,5,0.154,0.011414201680362931,0.05
Hopper-v5,SAC,TD3,permutation,0.05,5,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,t-test,0.05,10,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,10,0.027,0.00512552436341883,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,10,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,10,0.054,0.007147307185227175,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,10,0.11,0.009894442884771228,0.05
Hopper-v5,SAC,TD3,permutation,0.05,10,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,TD3,t-test,0.05,20,0.067,0.007906389820898032,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,20,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,20,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,20,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,20,0.093,0.009184280047995052,0.05
Hopper-v5,SAC,TD3,permutation,0.05,20,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,TD3,t-test,0.05,30,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,30,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,30,0.041,0.006270486424512854,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,30,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,30,0.079,0.008529888627643388,0.05
Hopper-v5,SAC,TD3,permutation,0.05,30,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,TD3,t-test,0.01,2,0.035,0.005811626278418116,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,2,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,2,0.338,0.014958475858188226,0.01
Hopper-v5,SAC,TD3,permutation,0.01,2,0.346,0.015042739112276061,0.01
Hopper-v5,SAC,TD3,t-test,0.01,3,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,3,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,3,0.14,0.010972693379476163,0.01
Hopper-v5,SAC,TD3,permutation,0.01,3,0.106,0.009734680272099337,0.01
Hopper-v5,SAC,TD3,t-test,0.01,5,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,5,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,5,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,5,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,5,0.066,0.007851369307324678,0.01
Hopper-v5,SAC,TD3,permutation,0.01,5,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,t-test,0.01,10,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,10,0.002,0.0014127986409959489,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,10,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,10,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,10,0.05,0.006892024376045111,0.01
Hopper-v5,SAC,TD3,permutation,0.01,10,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,TD3,t-test,0.01,20,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,20,0.03,0.005394441583704471,0.01
Hopper-v5,SAC,TD3,permutation,0.01,20,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,30,0.032,0.005565608681896348,0.01
Hopper-v5,SAC,TD3,permutation,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,DDPG,t-test,0.05,2,0.101,0.009528850927577786,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2,0.002,0.0014127986409959489,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,2,0.413,0.0155701958882989,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,2,0.385,0.015387494922826133,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,3,0.075,0.008329165624478841,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,3,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,3,0.123,0.010386096475577337,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,3,0.238,0.01346684818359515,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,3,0.146,0.011166198995181842,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,5,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,5,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,5,0.038,0.006046155803483731,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,5,0.065,0.007795832219846705,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,5,0.137,0.010873407929439602,0.05
