task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,t-test,0.05,2,0.075,0.008329165624478841,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,2,0.022,0.0046385342512479085,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,2,0.331,0.014880826589944525,0.05
Hopper-v5,SAC,TD3,permutation,0.05,2,0.362,0.015197236590906913,0.05
Hopper-v5,SAC,TD3,t-test,0.05,3,0.033,0.005648982209212559,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,3,0.026,0.0050322956987840055,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,3,0.1,0.009486832980505138,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,3,0.199,0.012625331678811452,0.05
Hopper-v5,SAC,TD3,permutation,0.05,3,0.1,0.009486832980505138,0.05
Hopper-v5,SAC,TD3,t-test,0.05,5,0.032,0.005565608681896348,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,5,0.016,0.003967870965643918,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,5,0.033,0.005648982209212559,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,5,0.066,0.007851369307324678,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,5,0.128,0.010564847372300274,0.05
Hopper-v5,SAC,TD3,permutation,0.05,5,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,t-test,0.05,10,0.042,0.0063431853196954605,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,10,0.026,0.0050322956987840055,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,10,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,10,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,10,0.104,0.009653186002558949,0.05
Hopper-v5,SAC,TD3,permutation,0.05,10,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,t-test,0.05,20,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,20,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,20,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,20,0.043,0.006414904519944158,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,20,0.098,0.009401914698613257,0.05
Hopper-v5,SAC,TD3,permutation,0.05,20,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,t-test,0.05,30,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,30,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,30,0.069,0.008014923580421713,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,30,0.063,0.007683163410991596,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,30,0.079,0.008529888627643388,0.05
Hopper-v5,SAC,TD3,permutation,0.05,30,0.067,0.007906389820898032,0.05
Hopper-v5,SAC,TD3,t-test,0.01,2,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,2,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,2,0.352,0.015102847413650183,0.01
