task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,t-test,0.05,2,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,2,0.034,0.005730968504537431,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,2,0.375,0.015309310892394862,0.05
Hopper-v5,SAC,TD3,permutation,0.05,2,0.331,0.014880826589944525,0.05
Hopper-v5,SAC,TD3,t-test,0.05,3,0.027,0.00512552436341883,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,3,0.021,0.004534203347888138,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,3,0.109,0.00985489725973843,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,3,0.219,0.013078187947877183,0.05
Hopper-v5,SAC,TD3,permutation,0.05,3,0.102,0.009570579919733181,0.05
Hopper-v5,SAC,TD3,t-test,0.05,5,0.02,0.004427188724235731,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,5,0.017,0.004087909000944126,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,5,0.03,0.005394441583704471,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,5,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,5,0.138,0.01090669519148674,0.05
Hopper-v5,SAC,TD3,permutation,0.05,5,0.043,0.006414904519944158,0.05
Hopper-v5,SAC,TD3,t-test,0.05,10,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,10,0.033,0.005648982209212559,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,10,0.035,0.005811626278418116,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,10,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,10,0.111,0.00993373041711924,0.05
Hopper-v5,SAC,TD3,permutation,0.05,10,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,TD3,t-test,0.05,20,0.071,0.008121514637061242,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,20,0.043,0.006414904519944158,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,20,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,20,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,20,0.074,0.00827792244467173,0.05
Hopper-v5,SAC,TD3,permutation,0.05,20,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,TD3,t-test,0.05,30,0.043,0.006414904519944158,0.05
Hopper-v5,SAC,TD3,Welch t-test,0.05,30,0.055,0.00720936890441875,0.05
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,30,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,TD3,Ranked t-test,0.05,30,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,TD3,bootstrap,0.05,30,0.073,0.008226238508577295,0.05
Hopper-v5,SAC,TD3,permutation,0.05,30,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,TD3,t-test,0.01,2,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,2,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,2,0.331,0.014880826589944525,0.01
Hopper-v5,SAC,TD3,permutation,0.01,2,0.32,0.014751271131668619,0.01
Hopper-v5,SAC,TD3,t-test,0.01,3,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,3,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,3,0.001,0.0009994998749374609,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,3,0.133,0.010738295954200556,0.01
Hopper-v5,SAC,TD3,permutation,0.01,3,0.111,0.00993373041711924,0.01
Hopper-v5,SAC,TD3,t-test,0.01,5,0.002,0.0014127986409959489,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,5,0.002,0.0014127986409959489,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,5,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,5,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,5,0.074,0.00827792244467173,0.01
Hopper-v5,SAC,TD3,permutation,0.01,5,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,t-test,0.01,10,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,10,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,10,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,10,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,10,0.044,0.006485676526007136,0.01
Hopper-v5,SAC,TD3,permutation,0.01,10,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,TD3,t-test,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,20,0.035,0.005811626278418116,0.01
Hopper-v5,SAC,TD3,permutation,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,30,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,TD3,permutation,0.01,30,0.015,0.003843826218756514,0.01
Walker2d-v5,SAC,TD3,t-test,0.05,2,0.048,0.006759881655768835,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2,0.021,0.004534203347888138,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,2,0.321,0.0147634345597493,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,2,0.328,0.014846413708367418,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,3,0.041,0.006270486424512854,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,3,0.02,0.004427188724235731,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,3,0.104,0.009653186002558949,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,3,0.208,0.0128349522788361,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,3,0.109,0.00985489725973843,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,5,0.034,0.005730968504537431,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,5,0.032,0.005565608681896348,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,5,0.034,0.005730968504537431,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,5,0.054,0.007147307185227175,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,5,0.139,0.010939789760319894,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,5,0.056,0.007270763371201128,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,10,0.049,0.006826346021115542,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,10,0.033,0.005648982209212559,0.05
