task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,t-test,0.05,0.5,2,0.182,0.012201475320632338
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.094,0.009228434320078352
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.645,0.015131919904625453
Hopper-v5,SAC,TD3,permutation,0.05,0.5,2,0.683,0.014714312760030622
Hopper-v5,SAC,TD3,t-test,0.05,0.5,3,0.226,0.013225883713385657
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.159,0.011563693181678594
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.153,0.011383804285035824
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.545,0.015747221977225064
Hopper-v5,SAC,TD3,permutation,0.05,0.5,3,0.524,0.01579316307773715
Hopper-v5,SAC,TD3,t-test,0.05,0.5,5,0.262,0.013905250806799567
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.182,0.012201475320632338
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.07,0.008068457101577725
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.115,0.010088359628799918
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.449,0.015728922404284407
Hopper-v5,SAC,TD3,permutation,0.05,0.5,5,0.374,0.015301111070768685
Hopper-v5,SAC,TD3,t-test,0.05,0.5,10,0.304,0.014545927265045703
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.285,0.014274978108564651
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.185,0.012279047194306243
